lecture_id,campus,building,room_id
A0634,南大沢,6号,202
A0635,南大沢,6号,104
A0636,南大沢,AV棟,163
A0637,南大沢,6号,203
A0638,南大沢,6号,213
A0639,南大沢,6号,313
A0640,南大沢,6号,312
A0641,南大沢,6号,311
A0642,南大沢,6号,310
A0643,南大沢,6号,309
A0644,南大沢,6号,308
A0645,南大沢,6号,312
A0646,南大沢,6号,307
A0647,南大沢,6号,306
A0648,南大沢,6号,301
A0649,南大沢,6号,302
A0650,南大沢,6号,202
A0651,南大沢,6号,404
A0652,南大沢,6号,104
A0653,南大沢,6号,106
A0654,南大沢,6号,208
A0655,南大沢,6号,105
A0656,南大沢,AV棟,162
A0657,南大沢,6号,202
A0658,南大沢,6号,104
A0659,南大沢,AV棟,163
A0660,南大沢,6号,307
A0661,南大沢,6号,308
A0662,南大沢,6号,309
A0663,南大沢,6号,310
A0664,南大沢,6号,311
A0665,南大沢,6号,312
A0666,南大沢,6号,307
A0667,南大沢,6号,105
A0668,南大沢,6号,106
A0669,南大沢,6号,210
A0670,南大沢,6号,202
A0671,南大沢,6号,404
A0672,南大沢,6号,104
A0673,南大沢,6号,106
A0674,南大沢,6号,208
A0675,南大沢,6号,209
A0676,南大沢,AV棟,163
A0677,南大沢,6号,211
A0678,南大沢,6号,212
A0679,南大沢,6号,213
A0682,南大沢,1号,330
A0683,南大沢,1号,350
A0684,南大沢,1号,340
A0685,南大沢,6号,307
A0686,南大沢,6号,308
A0687,南大沢,6号,309
A0688,南大沢,6号,310
A0689,南大沢,6号,311
A0690,南大沢,6号,312
A0691,南大沢,6号,307
A0692,南大沢,6号,105
A0693,南大沢,6号,106
A0694,南大沢,6号,210
A0695,南大沢,6号,202
A0696,南大沢,6号,404
A0697,南大沢,6号,104
A0698,南大沢,6号,106
A0699,南大沢,6号,208
A0700,南大沢,6号,209
A0701,南大沢,AV棟,163
A0702,南大沢,6号,211
A0703,南大沢,6号,212
A0704,南大沢,6号,213
A0708,南大沢,6号,210
A0709,南大沢,6号,308
A0710,南大沢,6号,309
A0711,南大沢,6号,310
A0712,南大沢,6号,311
A0713,南大沢,6号,312
A0714,南大沢,6号,211
A0715,南大沢,6号,303
